Date,AAPL,CVX,KO,MCD,UNH,V
2018-12-03 00:00:00+00:00,44.131866455078125,93.79164123535156,41.56153106689453,162.1857147216797,262.621337890625,139.07545471191406
2018-12-04 00:00:00+00:00,42.19055938720703,91.12565612792969,41.46952438354492,161.89695739746094,255.485595703125,132.97535705566406
2018-12-06 00:00:00+00:00,41.72015380859375,90.09190368652344,41.302242279052734,162.25567626953125,253.92630004882812,135.286865234375
2018-12-07 00:00:00+00:00,40.2325439453125,89.76547241210938,41.059688568115234,160.07711791992188,246.8914031982422,131.50787353515625
2018-12-10 00:00:00+00:00,40.49758529663086,89.33797454833984,41.185150146484375,161.55575561523438,244.4608612060547,132.2464141845703
2018-12-11 00:00:00+00:00,40.265960693359375,89.74993133544922,41.43606185913086,160.62832641601562,245.0937042236328,131.22012329101562
2018-12-12 00:00:00+00:00,40.37819290161133,89.86650085449219,41.168418884277344,160.5320587158203,248.23056030273438,132.16966247558594
2018-12-13 00:00:00+00:00,40.8199348449707,90.11524200439453,41.377525329589844,163.11309814453125,249.6155242919922,131.92027282714844
2018-12-14 00:00:00+00:00,39.513790130615234,88.47522735595703,41.26878356933594,160.36582946777344,243.075927734375,129.57040405273438
2018-12-17 00:00:00+00:00,39.14607620239258,87.40259552001953,40.424007415771484,158.17852783203125,236.70135498046875,126.03115844726562
2018-12-18 00:00:00+00:00,39.65468215942383,85.29623413085938,40.415645599365234,157.23358154296875,232.0236358642578,127.23970031738281
2018-12-19 00:00:00+00:00,38.417781829833984,83.81166076660156,40.064353942871094,156.75234985351562,229.5838623046875,125.89689636230469
2018-12-20 00:00:00+00:00,37.448333740234375,81.59648132324219,39.76323699951172,151.95777893066406,222.36553955078125,123.4990463256836
2018-12-21 00:00:00+00:00,35.99174118041992,80.99798583984375,39.7883186340332,152.36895751953125,218.6050262451172,119.18289947509766
2018-12-24 00:00:00+00:00,35.06049728393555,78.49523162841797,38.44169998168945,148.9830322265625,213.6521759033203,116.75628662109375
2018-12-26 00:00:00+00:00,37.52951431274414,83.46967315673828,39.261390686035156,152.2639923095703,223.20018005371094,124.9089584350586
2018-12-27 00:00:00+00:00,37.285953521728516,84.96977233886719,39.7548713684082,153.73387145996094,225.6032257080078,126.61621856689453
2018-12-28 00:00:00+00:00,37.305057525634766,84.44902038574219,39.478851318359375,153.60263061523438,225.85089111328125,125.58997344970703
2018-12-31 00:00:00+00:00,37.665626525878906,84.5578384399414,39.604312896728516,155.36123657226562,228.492431640625,126.54911804199219
2019-01-02 00:00:00+00:00,37.70859146118164,86.03462219238281,39.25300979614258,154.0401153564453,223.32861328125,127.48904418945312
2019-01-03 00:00:00+00:00,33.95254135131836,84.38683319091797,39.01045608520508,153.02517700195312,217.2384033203125,122.89476013183594
2019-01-04 00:00:00+00:00,35.401947021484375,86.13568115234375,39.7883186340332,155.98243713378906,219.77906799316406,128.18923950195312
2019-01-07 00:00:00+00:00,35.323158264160156,87.25492858886719,39.26976013183594,157.67979431152344,220.20098876953125,130.50074768066406
2019-01-08 00:00:00+00:00,35.996517181396484,86.87406921386719,39.713043212890625,158.0122528076172,223.14515686035156,131.2105255126953
2019-01-09 00:00:00+00:00,36.60780334472656,88.0399398803711,38.951908111572266,157.74102783203125,223.4661865234375,132.75477600097656
2019-01-10 00:00:00+00:00,36.72481155395508,88.17985534667969,39.37012481689453,158.84344482421875,224.59437561035156,133.00411987304688
2019-01-11 00:00:00+00:00,36.36425018310547,87.4725570678711,39.595951080322266,159.56089782714844,227.16249084472656,132.41905212402344
2019-01-14 00:00:00+00:00,35.81743240356445,86.835205078125,39.43702697753906,158.5547332763672,227.5201873779297,131.49832153320312
2019-01-15 00:00:00+00:00,36.550498962402344,87.14611053466797,39.7883186340332,158.37979125976562,235.60072326660156,131.72848510742188
2019-01-16 00:00:00+00:00,36.99702453613281,86.58647918701172,39.244651794433594,156.91864013671875,239.81065368652344,131.72848510742188
2019-01-17 00:00:00+00:00,37.21670913696289,87.02173614501953,39.361751556396484,158.45848083496094,238.2606201171875,131.67092895507812
2019-01-18 00:00:00+00:00,37.44593811035156,88.89493560791016,39.8217887878418,159.7358856201172,243.5161590576172,132.84104919433594
2019-01-22 00:00:00+00:00,36.60541915893555,87.31710052490234,39.913795471191406,161.4857635498047,243.69041442871094,132.4094696044922
2019-01-23 00:00:00+00:00,36.75345993041992,86.57870483398438,40.37381362915039,162.8156280517578,244.91026306152344,131.41192626953125
2019-01-24 00:00:00+00:00,36.46215057373047,88.22649383544922,39.888702392578125,163.935546875,244.09393310546875,132.07376098632812
2019-01-25 00:00:00+00:00,37.67039108276367,88.00109100341797,39.62105178833008,160.98704528808594,245.8550262451172,133.00411987304688
2019-01-28 00:00:00+00:00,37.321773529052734,87.1849594116211,39.45376205444336,160.63705444335938,244.68106079101562,130.43362426757812
2019-01-29 00:00:00+00:00,36.9349365234375,86.92069244384766,39.646141052246094,159.3859100341797,245.2038116455078,129.48406982421875
2019-01-30 00:00:00+00:00,39.45887756347656,87.83786010742188,40.030879974365234,159.0359344482422,247.98281860351562,131.97784423828125
2019-01-31 00:00:00+00:00,39.74303436279297,89.1125717163086,40.2567253112793,156.41993713378906,247.8269500732422,129.49366760253906
2019-02-01 00:00:00+00:00,39.762123107910156,92.00395965576172,40.73347473144531,154.61753845214844,246.46945190429688,134.4236602783203
2019-02-04 00:00:00+00:00,40.891578674316406,93.06880187988281,41.19350814819336,155.34375,246.00177001953125,135.718505859375
